name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;442;0;764;3051;1654;3051;1402;0
header;116;160;116;196;1745;196;1745;160
A;922;232;922;259;946;259;946;232
A;858;552;858;566;865;566;865;552
A;1329;647;1329;664;1343;664;1343;647
D;737;688;737;715;775;715;775;688
B;927;902;927;929;946;929;946;902
B;1302;1250;1302;1269;1317;1269;1317;1250
C;929;1570;929;1598;950;1598;950;1570
A;1347;1925;1347;1928;1349;1928;1349;1925
D;1004;2054;1004;2080;1024;2080;1024;2054
D;936;2241;936;2268;956;2268;956;2241
A;911;2602;911;2604;911;2604;911;2602
B;971;2658;971;2676;986;2676;986;2658
A;1574;2863;1574;2878;1582;2878;1582;2863
