name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;316;0;362;3035;1824;3035;1763;0
header;185;99;185;133;1824;133;1824;99
A;990;165;990;192;1012;192;1012;165
A;1423;266;1423;271;1427;271;1427;266
B;1670;624;1670;649;1684;649;1684;624
A;1436;633;1436;640;1443;640;1443;633
A;1653;769;1653;773;1658;773;1658;769
B;993;849;993;875;1012;875;1012;849
A;1130;892;1130;893;1130;893;1130;892
D;672;1171;672;1198;694;1198;694;1171
C;990;1590;990;1617;1011;1617;1011;1590
B;866;2055;866;2074;880;2074;880;2055
D;998;2276;998;2302;1018;2302;1018;2276
B;1077;2816;1077;2831;1085;2831;1085;2816
